22194	getDocumentTypesOptionByIdDocumentTypes
22216	getDocumentTypesOptionById
22238	getDocumentTypesOptions
22259	deleteDocumentTypesOption
22274	getVehicleCategories
22298	getVehicleCategorieById
22323	updateVehicleCategorie
22363	addVehicleCategorie
22412	deleteVehicleCategorie
22427	deleteDocumentType
22442	addDocumentType
22482	updateDocumentType
22516	getDocumentTypeById
22538	getDocumentTypes
22559	updateVehicleBrake
22585	getVehicleBrakeById
22603	getVehicleBrakes
22620	addVehicleBrake
22648	deleteVehicleBrake
22663	deleteDocumentTypePrin
22678	addDocumentTypePrin
22703	updateDocumentTypePrin
22727	getDocumentTypePrint
22743	getDocumentTypePrinById
22760	getVehicleBodytypById
22779	getVehicleBodytype
22797	updateVehicleBodytyp
22825	addVehicleBodytyp
22856	deleteVehicleBodytyp
22871	addDocumentsTrafficLicencesExtension
22905	deleteDocumentsTrafficLicencesExtension
22920	getDocumentsTrafficLicencesExtensions
22939	getDocumentsTrafficLicencesExtensionById
22957	getDocumentsTrafficLicencesExtensionByIdTrafficLicence
22977	updateDocumentsTrafficLicencesExtension
23007	addPaymentItemParametar
23050	deletePaymentItemParametar
23065	getPaymentItemParametarById
23086	getPaymentItemParametarByIdPaymentItem
23109	getPaymentItemParametars
23131	updatePaymentItemParametar
23167	deleteDocumentsTrafficLicence
23182	addDocumentsTrafficLicence
23222	getDocumentsTrafficLicenceById
23244	getDocumentsTrafficLicences
23265	updateDocumentsTrafficLicence
23299	NumOfTrafficLicenceExists
23313	updateDocumentsTehnicalExamsReportsDetailsStatu
23337	getDocumentsTehnicalExamsReportsDetailsStatus
23353	getDocumentsTehnicalExamsReportsDetailsStatuById
23370	addDocumentsTehnicalExamsReportsDetailsStatu
23395	deleteDocumentsTehnicalExamsReportsDetailsStatu
23410	addDriveingLicenceCtegorie
23438	deleteDriveingLicenceCtegorie
23453	updateDriveingLicenceCtegorie
23479	getDriveingLicenceCtegorieById
23497	getDriveingLicenceCtegories
23514	getDogovorZaRati
23535	getDogovorZaRatById
23557	updateDogovorZaRat
23591	deleteDogovorZaRat
23606	addDogovorZaRat
23820	getDocumentVehicleOwnershipProoById
23837	getDocumentVehicleOwnershipProof
23853	updateDocumentVehicleOwnershipProo
23877	deleteDocumentVehicleOwnershipProo
23892	addDocumentVehicleOwnershipProo
23917	updateCustomerFinancialStat
23962	updatePaymentDocumentsDetailFinace
23982	insertFinancialStatePriceCatalogForTrafficLicences
24024	insertFinancialStatePriceCatalogForTehnicalExams
24077	insertFinancialStatePriceCatalogForRequests
24130	insertFinancialStatePriceCatalogForPermisions
24172	insertFinancialStatePriceCatalogForIternationalDriveingLicences
24214	addCustomerFinancialStatFromTehnicalExam
